Gene_accession no.	Gene	Group	Family	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
aac(6')-Ib_2_M23634	aac(6')-Ib	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	2824444	Enzymatic modification	Alternative name aacA4, aac(6')-4, curated	
aac(6')-Ib11_1_AY136758	aac(6')-Ib11	aac	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	12543680	Enzymatic modification	curated	
aac(6')-30-aac(6')-Ib'_1_AJ584652	aac(6')-30-aac(6')-Ib'	aac	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	15561846	Enzymatic modification	curated	
aac(6')-Iaj_1_AB709942	aac(6')-Iaj	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	23070167	Enzymatic modification	curated	
aac(6')-Ian_1_AP014611	aac(6')-Ian	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	25576529	Enzymatic modification	curated	
aac(6')-Iak_1_AB894482	aac(6')-Iak	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	25092711	Enzymatic modification	curated	
aac(6')-Ib-Hangzhou_1_FJ503047	aac(6')-Ib-Hangzhou	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	19703723	Enzymatic modification	curated	
aac(6')-Ib-Suzhou_1_EU085533	aac(6')-Ib-Suzhou	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	18843996	Enzymatic modification	curated	
aac(6')-Iid_1_AJ584700	aac(6')-Iid	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	15849260	Enzymatic modification	curated	
aac(6')-Iih_1_AJ584701	aac(6')-Iih	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	15849260	Enzymatic modification	curated	
aac(6')-Iz_2_AB971834	aac(6')-Iz	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	18419807	Enzymatic modification	Alternative name aac(6')-Iak, curated	
aac(6')-29b_1_AF263519	aac(6')-29b	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	11158753	Enzymatic modification	curated	
aac(6')-29a_1_AF263519	aac(6')-29a	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	11158753	Enzymatic modification	Alternative name aacA29b, curated	
aac(6')-Iaa_1_NC_003197	aac(6')-Iaa	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	11677609	Enzymatic modification	Crytpic gene in Salmonella sp., curated	
aac(6')-Ih_2_KT778788	aac(6')-Ih	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	26645270	Enzymatic modification	curated	
aac(6')-Ix_1_AF031332	aac(6')-Ix	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Il_1_U13880	aac(6')-Il	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	7793874	Enzymatic modification	Alternative name aacA7, curated	
aac(6')-Ia_2_M86913	aac(6')-Ia	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	8393071	Enzymatic modification	Alternative name aacA1, curated	
aac(6')-Iag_1_AB472901	aac(6')-Iag	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	23950962	Enzymatic modification	Alternative name aacA48, curated	
aac(2')-IIa_1_AB669090	aac(2')-IIa	aac	Aminoglycoside	Aminoglycoside		22660700	Enzymatic modification	curated	
kamB_1_AJ629123	kamB	kam	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	20667473	Target protection	curated	
grmO_1_AY524043	grmO	grm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Target protection	curated	
fmrO_1_Q08325	fmrO	fmr	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	8486289	Target protection	curated	
grmB_1_M55521	grmB	grm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	2013410	Target protection	curated	
grmA_1_M55520	grmA	grm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	2013410	Target protection	curated	
kgmB_1_S60108	kgmB	kgm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	1921972	Target protection	curated	
sgm_1_M87057	sgm	sgm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	1447159	Target protection	curated	
aph(3')-VI_2_APPJ01000012	aph(3')-VI	aph	Aminoglycoside	Aminoglycoside	Amikacin	21239566	Enzymatic modification	Intrinsic in Acinetobacter guillouiae, curated	
aph(3')-IX_1_APPN01000061	aph(3')-IX	aph	Aminoglycoside	Aminoglycoside	Amikacin	27965516	Enzymatic modification	Intrinsic in Acinetobacter gerneri, curated	
ant(6)-Ia_5_AB247327	ant(6)-Ia	ant	Aminoglycoside	Aminoglycoside	Streptomycin	17021204	Enzymatic modification	curated	
aadA13_2_NC010643	aadA13	aad	Aminoglycoside	Aminoglycoside	Streptomycin	18268088	Enzymatic modification	curated	
aadA11_2_AJ567827	aadA11	aad	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
